Location,Price (RM),Rooms,Bathrooms,Car Parks,Property Type,Size (sqft),Furnishing
47,6300000,4,5.0,6.0,12,8000.0,1
68,5500000,5,7.0,6.0,9,7100.0,2
32,550000,1,2.0,1.0,16,775.0,0
68,3688000,4,5.0,5.0,7,1367.0,1
68,2680000,3,5.0,4.0,4,26.0,1
40,1000000,2,2.0,1.0,16,849.0,0
19,1730000,2,3.0,1.0,16,1442.0,0
14,5500000,5,6.0,5.0,12,6900.0,1
65,630000,2,2.0,2.0,16,1025.0,1
11,900000,3,2.0,2.0,16,1170.0,1
65,800000,3,3.0,2.0,16,1430.0,1
5,9000000,5,6.0,4.0,9,8000.0,1
22,9600000,7,9.0,6.0,9,7600.0,1
11,1750000,4,5.0,3.0,12,2700.0,1
76,1613300,3,4.0,3.0,12,2336.0,1
76,500000,3,2.0,1.0,2,16.0,1
38,1200000,2,2.0,1.0,12,969.0,1
47,2285000,4,6.0,3.0,12,2874.0,1
18,363000,3,2.0,1.0,16,950.0,1
32,1430000,3,4.0,3.0,12,2638.0,1
58,1147000,5,5.0,5.0,12,2500.0,1
47,645000,1,1.0,1.0,16,462.0,0
24,3560000,3,5.0,4.0,2,45.0,1
40,1900000,2,2.0,1.0,12,915.0,1
40,1450000,2,2.0,1.0,16,1050.0,0
22,18000000,7,7.0,6.0,9,16000.0,0
24,2800000,4,4.0,3.0,2,38.0,1
24,1150000,3,2.0,2.0,12,1580.0,1
40,3354000,2,2.0,1.0,16,1006.0,0
9,900000,3,3.0,1.0,16,1063.0,0
32,938000,2,3.0,2.0,12,1523.0,1
47,1800000,3,4.0,2.0,12,2038.0,1
47,1450000,3,4.0,2.0,12,1496.0,1
47,1200000,3,2.0,2.0,12,1200.0,1
47,1850000,3,4.0,2.0,12,2038.0,1
11,980000,4,3.0,2.0,12,1513.0,1
40,1377000,2,2.0,1.0,12,871.0,1
40,1621000,3,2.0,2.0,12,1031.0,1
40,1245000,1,1.0,2.0,16,925.0,1
40,4958000,4,5.0,4.0,16,2615.0,0
40,1830000,3,4.0,2.0,16,1426.0,0
40,2688800,3,5.0,2.0,12,2593.0,0
40,3291600,2,3.0,1.0,16,1688.0,1
40,1198800,1,1.0,1.0,16,636.0,0
40,1250000,1,1.0,1.0,16,925.0,0
40,1830000,1,2.0,1.0,16,1076.0,1
47,1840000,3,4.0,3.0,12,2694.0,1
48,2398000,5,3.0,8.0,15,5000.0,0
5,5800000,5,6.0,4.0,9,6600.0,1
47,1690000,3,4.0,2.0,12,2020.0,1
39,1380000,3,2.0,1.0,12,1500.0,0
5,1550000,3,2.0,2.0,17,2400.0,0
40,1900000,1,2.0,1.0,16,1076.0,0
5,2900000,4,3.0,4.0,2,3254.0,1
47,2890000,4,6.0,3.0,12,3478.0,0
47,600000,1,1.0,1.0,16,633.0,0
40,2270000,1,2.0,1.0,16,1087.0,0
61,418000,2,2.0,2.0,16,900.0,1
18,318000,2,2.0,1.0,12,970.0,0
18,690000,4,3.0,2.0,2,20.0,1
64,2400000,5,5.0,6.0,15,4000.0,1
38,780000,1,1.0,1.0,12,657.0,1
45,700000,3,3.0,2.0,12,1496.0,1
11,1068000,4,3.0,4.0,12,1772.0,1
40,1420000,2,2.0,1.0,12,976.0,1
47,2330000,4,5.0,3.0,12,2702.0,1
47,1780000,3,4.0,2.0,12,2073.0,1
40,1050000,1,1.0,1.0,12,751.0,0
18,530000,3,2.0,1.0,12,1394.0,2
40,1637500,2,2.0,1.0,12,976.0,0
32,669000,3,2.0,2.0,16,1094.0,2
32,1438000,3,4.0,4.0,12,2378.0,2
32,1280000,3,4.0,3.0,12,2128.0,0
40,1000000,2,3.0,2.0,16,1313.0,0
41,1100000,4,5.0,4.0,15,40.0,2
32,945000,2,3.0,2.0,12,1523.0,1
73,1050000,3,2.0,2.0,0,24.0,1
40,1550000,1,2.0,1.0,16,711.0,1
40,3100000,2,2.0,2.0,16,1572.0,1
5,2900000,5,3.0,4.0,2,3400.0,1
40,2670000,2,2.0,1.0,16,1114.0,0
47,908000,2,2.0,1.0,16,873.0,1
47,1150000,2,2.0,1.0,16,910.0,1
47,1100000,2,2.0,1.0,16,907.0,0
65,664000,3,2.0,2.0,12,1260.0,1
40,1050000,1,1.0,1.0,12,751.0,1
40,990000,1,1.0,1.0,12,657.0,1
37,768000,0,1.0,1.0,16,546.0,0
47,1450000,3,4.0,2.0,12,1496.0,1
40,1000000,1,1.0,1.0,12,657.0,1
47,1685000,3,4.0,2.0,12,2038.0,1
47,2800000,4,5.0,3.0,12,3041.0,0
22,2600000,3,4.0,2.0,16,1851.0,1
40,3600000,3,4.0,2.0,16,3897.0,2
22,1400000,1,1.0,1.0,16,904.0,1
40,5070000,3,3.0,3.0,16,2142.0,1
18,450000,3,2.0,2.0,12,1018.0,2
22,3800000,6,6.0,4.0,9,5000.0,1
40,3843000,1,2.0,1.0,12,1098.0,1
5,7000000,5,6.0,4.0,9,6846.0,1
14,14800000,7,8.0,6.0,9,12000.0,1
63,14800000,5,7.0,5.0,9,13041.0,0
38,1061100,1,1.0,1.0,12,786.0,1
38,900000,1,1.0,1.0,12,657.0,0
41,485000,3,2.0,1.0,12,950.0,0
24,1160000,3,2.0,2.0,12,1389.0,1
24,3550000,4,5.0,4.0,4,4306.0,2
22,5400000,4,4.0,6.0,9,7300.0,1
40,1300000,1,1.0,2.0,16,925.0,1
76,1174338,4,5.0,3.0,12,2266.0,1
47,1600000,3,4.0,2.0,12,1496.0,1
47,1890000,5,8.0,5.0,4,24.0,2
39,1049888,2,2.0,2.0,16,858.0,1
47,1850000,3,4.0,2.0,12,1830.0,1
24,2200000,4,4.0,3.0,2,22.0,1
24,3300000,5,5.0,4.0,9,40.0,1
24,3890000,7,6.0,4.0,15,40.0,1
47,1470000,3,2.0,2.0,12,1200.0,0
73,1450000,3,2.0,2.0,0,24.0,0
65,2000000,4,6.0,6.0,15,20.0,1
22,7612600,4,4.0,3.0,16,4478.0,1
11,1060000,4,3.0,4.0,12,1772.0,1
32,738000,4,2.0,2.0,12,1092.0,1
24,3650000,4,6.0,4.0,4,22.0,0
5,2990000,4,3.0,3.0,2,39.0,1
